Time (milliseconds),Filtered Speed (RPM),Steady-state average speed
5839.63,559.29,600.018
5863.55,587.2,600.018
5887.47,638.42,600.018
5912.43,653.26,600.018
5936.35,602.01,600.018
5960.27,541.51,600.018
5984.19,544.62,600.018
6008.11,583.8,600.018
6032.03,617.26,600.018
6055.96,636.69,600.018
6079.87,616.77,600.018
6103.79,572.39,600.018
6127.71,552.73,600.018
6151.63,581.6,600.018
6175.55,633.64,600.018
6200.52,657.91,600.018
6224.43,614.72,600.018
6248.35,552.37,600.018
6272.27,544.77,600.018
6296.19,583.93,600.018
6320.11,626.5,600.018
6344.03,644.59,600.018
6367.95,623.53,600.018
6391.87,578.14,600.018
6415.79,548.52,600.018
6439.71,559.74,600.018
6463.63,605.84,600.018
6488.59,642.93,600.018
6512.51,628.96,600.018
6536.43,591.91,600.018
6560.35,569.41,600.018
6584.27,586.71,600.018
6608.19,628.87,600.018
6632.11,646.62,600.018
6656.03,625.26,600.018
6679.95,588.75,600.018
6703.87,566.7,600.018
6727.79,584.4,600.018
6751.71,617.79,600.018
6775.63,637.16,600.018
6799.55,626.3,600.018
6823.47,589.65,600.018
6847.39,567.47,600.018
6871.31,585.06,600.018
6895.23,627.46,600.018
6919.15,645.42,600.018
6943.07,624.23,600.018
6966.99,578.75,600.018
6990.91,549.03,600.018
7014.83,560.18,600.018
7038.75,606.21,600.018
7063.71,643.24,600.018
7087.63,638.36,600.018
7111.55,590.81,600.018
7135.47,541.07,600.018
7159.39,553.38,600.018
7183.31,591.28,600.018
7207.23,623.65,600.018
7231.15,633.03,600.018
7255.07,604.52,600.018
7278.99,571.04,600.018
7302.91,560.72,600.018
7326.83,588.42,600.018
7350.75,630.33,600.018
7374.67,647.87,600.018
7398.59,626.32,600.018
7422.51,580.53,600.018
7446.43,559.69,600.018
7470.35,578.41,600.018
7494.27,603.53,600.018
7518.19,634.11,600.018
7542.11,641.96,600.018
7566.03,612.15,600.018
7589.95,577.56,600.018
7613.87,566.28,600.018
7637.79,593.17,600.018
7661.71,625.26,600.018
7685.63,634.41,600.018
7709.55,623.96,600.018
7733.47,596.77,600.018
7757.39,573.56,600.018
7781.31,581.12,600.018
7805.23,614.97,600.018
7829.15,643.88,600.018
7853.07,632.05,600.018
7876.99,594.55,600.018
7900.91,571.66,600.018
7924.83,588.63,600.018
7948.75,621.39,600.018
7972.67,631.1,600.018
7996.59,621.13,600.018
8020.51,594.36,600.018
8044.43,571.5,600.018
8068.35,579.36,600.018
8092.27,604.34,600.018
8116.19,625.66,600.018
8140.11,625.62,600.018
8164.03,598.2,600.018
8187.95,565.64,600.018
8211.87,565.23,600.018
8235.79,601.4,600.018
8259.71,632.3,600.018
8283.63,640.41,600.018
