Time (milliseconds),Filtered Speed (RPM)
8439.63,534.98
8461.47,456.88
8483.31,400.17
8507.23,388.27
8531.15,432.02
8555.07,505.9
8580.03,583.83
8604.99,638.59
8628.91,661.39
8652.83,637.87
8676.75,572.13
8700.67,497.73
8722.51,425.06
8744.35,383
8768.27,383.61
8792.19,437.17
8817.15,525.13
8842.11,605.96
8867.07,666.24
8890.99,675.49
8914.91,631.65
8938.83,557.69
8960.67,476.27
8982.51,406.73
9004.35,377.35
9028.27,407.04
9052.19,475.44
9077.15,557.82
9102.11,625.13
9126.03,658.64
9149.95,653.78
9173.87,613.11
9197.79,541.86
9219.63,462.75
9241.47,405.19
9265.39,392.55
9289.31,426.54
9313.23,501.22
9338.19,580.22
9362.11,638.55
9387.07,662.12
9410.99,636.59
9434.91,580.17
9458.83,504.59
9480.67,430.92
9502.51,388.01
9526.43,397.01
9550.35,448.61
9574.27,529.2
9599.23,612.86
9624.19,663.38
9648.11,664.3
9672.03,612.97
9695.95,532.6
9717.79,454.84
9739.63,398.44
9763.55,377.66
9787.47,413.82
9811.39,499.49
9836.35,587.49
9861.31,650.47
9885.23,671.15
9909.15,646.21
9933.07,579.25
9954.91,494.68
9976.75,422.46
9998.59,390.78
